,Date,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,09/04/2021,407.058296,410.327599,406.928715,410.1481628,61104600,2084765097.3095496,1645542900,0.26466567683568487,137844954.17405766,69.2847281641611,12.253006133863007,5.614974647155444,718905.501395919,2771.4861090254603,395.7999076674188,4.11191665455665,395.70402983,409.6325017932553,381.77555786674475,7.039843374473159,1.0185110401236075,1.0,0.0,400.3638444966667,403.3181806466667,397.40950834666666,1.4758256474003932,2.155925021147863,1.0,0.0,382.6481248,410.327599,396.4878619,6.994994266773453,0.9935173551815519,0.8678503903894744,5.697537093698713,4.1510807684277475,1.5464563252709658,398.67320505,392.74408544615386,400.7139130061896,395.0163759124909,17.41064100023501,36.279567486718285,16.046182970323823,1.246604897426352,0.6295711104684609,0.617033786957891,0.14755857005457126,22.844034879287744,163.07992698632768,-9.447712730000035,33.78615758785246,25.092550601180353,8.693606986672105,400.9283465,389.89243665000004,395.410391575,388.09919775000003,380.7656256,375.6367395,100.0,8.0,92.0,393.92206110368164,,0.0,0.0,98.66034516202946,72.73643127619562,1.0,0.9997203265356934,0.994797706606131,28.874875066309325,74.92713898044762,99.3517355181552,98.77454666353441,-0.6482644818448094,15.48941002500004,403.72702452859494,5.645694606899709,-8.644230983341055,-2.207725223031281,-6.436505760309775,0.7270175679268354,0.7243875347157314,43.038415053578525
1,12/04/2021,409.5102666,410.5867314,408.8623922,410.297699,56704900,2122460334.5485806,1702247800,0.2541371651823425,119364165.758818,68.92382836727288,3.334057155039817,4.80414008666862,464915.2551968776,2772.49656704694,396.76562589259436,3.873158909100988,396.64427641500004,411.7940013701976,381.4945514598025,7.638947972286747,0.9506161869399415,0.0,0.0,402.06129204,404.57805828,399.54452580000003,1.2519316282501498,2.1363075022811957,1.0,0.0,382.6481248,410.5867314,396.6174281,7.043743792931598,0.9896547310272805,0.8374532687514867,6.040015849797044,4.528867784701607,1.511148065095437,400.6766535416666,394.1306938653846,402.188341620622,396.14832577082495,18.966272449895673,35.66354964213589,15.581054921661602,1.2523834014642914,0.6601895897748622,0.5921938116894292,0.16150690938170112,22.334530636603695,141.3416309506831,-8.215046715000028,36.605467313948935,26.931166886971823,9.674300426977112,401.1625631,390.39953794999997,395.78105052499996,388.22876395000003,379.15120549999995,375.6367395,100.0,4.0,96.0,396.5469471670926,,0.0,0.0,99.33017258101472,72.85602382487417,1.0,1.0000000000000002,0.9973522410590144,31.268543682380695,78.29975002838167,98.96547310272804,99.35803555060227,-1.0345268972719501,15.958515233235232,405.86484911884367,6.224204196970021,-10.376081784018924,-3.8413965352288097,-6.5346852487901135,0.036459068590999344,0.03645242388756742,43.0905655274344
2,13/04/2021,410.1880223,412.1815004,409.7793557,411.5136719,56551000,2147567458.9956226,1758798800,0.23380722360531014,112135639.71725827,75.71908294902774,5.334604969578571,5.545757658454386,188270.63970056555,2780.7132367945133,398.0461699198023,3.7260574881908903,397.52858733000005,413.9303869051755,381.1267877548246,8.251884316213893,0.9263277485467738,0.0,0.0,403.7946178733333,406.15888312333334,401.4303526233333,1.1710236567549621,2.1324424737593723,1.0,0.0,382.6481248,412.1815004,397.4148126,7.429245730064562,0.9773873292018815,0.7148596110449658,6.336508259278105,4.890395879616906,1.4461123796611988,402.6003570583334,395.29926827307685,403.6230078174494,397.2864995581713,20.642451923785977,36.94404625544461,14.931715681757456,1.306689112955106,0.6022612935020941,0.7044278194530118,0.1750676816914355,21.966886619748937,129.6829619555932,-2.8398361300000374,39.280237688164014,29.03322426948446,10.247013418679554,403.10121755,395.5583259,399.329771725,389.02614845,379.15120549999995,375.6367395,100.0,4.0,96.0,399.0741083290159,,0.0,0.0,99.66508629050736,73.8601465719354,1.0,1.0000000000000002,0.9999067755118979,33.58766778519297,77.52782194114958,97.73873292018814,98.6853138470238,-2.2612670798118475,16.305275346764688,407.81555246075345,5.943023962905439,-11.73980795115178,-5.421078818413404,-6.318729132738376,0.29636356795654795,0.29592527687771764,43.51463383284071
3,14/04/2021,411.4837813,412.6101013,409.5301812,410.1083069,61659900,2109055674.3311012,1697138900,0.23004417215826056,83737024.70572123,77.81967918067787,0.44811861179686563,5.942519985363266,-42978.86127877369,2780.7132367945133,399.60786662879076,3.6614437493717995,398.3674652,415.5235039439436,381.2114264560565,8.613172632122646,0.8421781063575863,0.0,0.0,405.55817987333336,407.9882272133333,403.1281325333333,1.1983717555685627,1.4362218899543588,1.0,0.0,382.6481248,412.6101013,397.62911305,7.521190638637522,0.91650102255437,0.44112151639493963,6.38448307286842,5.1892133182672096,1.1952697546012105,403.88532003333336,396.4867729692308,404.6207461378418,398.2362630649734,22.2614134017135,35.69102366728402,14.119238747500745,1.3389356217706336,0.5620239690280556,0.776911652742578,0.18670516525306585,21.772469375823327,109.03999182897121,-3.8780548000000294,42.70773507069961,31.451332794795203,11.25640227590441,404.74582605,397.62911305,401.18746955,389.2404489,379.15120549999995,375.6367395,96.0,44.0,52.0,401.69558674321274,,0.0,0.0,99.83254314525368,70.60909466249521,0.8477598107196807,0.9492532702398937,0.9830844234132979,34.717883156292714,70.0429583744477,91.650102255437,96.11810275945108,-8.349897744562996,16.812261554411748,408.55372441136814,3.90676340613175,-12.207659533011622,-6.778394961333047,-5.429264571678575,-0.34151113218457985,-0.342095612541371,43.02451538198761
4,15/04/2021,412.3908263,414.8029484,412.3410016,414.5138855,60229800,2155142032.5195894,1757368700,0.22514662664428683,109681323.7423726,87.19366048925096,10.226468616771795,7.845351629120665,436441.7518887212,2810.584981703464,401.79339132215046,3.7647635244346183,399.359562675,417.79329876596444,380.9258265840356,9.23164877660178,0.9110485999750242,0.0,0.0,407.4214177966667,409.8295367466667,405.01329884666666,1.1821268322235556,1.9726157325686284,1.0,0.0,382.6481248,414.8029484,398.7255366,8.051597258525565,0.9910102787813155,0.12601453806488488,6.70075470319847,5.491521595253461,1.2092331079450087,405.5540262916666,397.63547338846155,406.14276757817385,399.4420128749754,24.077700963920545,36.59450253867513,12.961515439194308,1.4390097230919665,0.40611834662379315,1.0328913764681733,0.1983664327683393,21.696284527654637,117.8339064253752,-5.916722074999996,47.07848282212965,34.224491569397244,12.853991252732406,408.4337835,398.7255366,403.57966005000003,391.38500745,379.58834757499994,377.02264865,100.0,40.0,60.0,403.8784896545702,,0.0,0.0,99.91627157262684,74.41148978533664,1.0,0.9492532702398937,0.9661688468265958,36.86753729605323,75.25511244152055,98.87897743104749,96.08927086889089,-1.1210225689525175,17.36633108176477,410.55643179487663,5.076048829725448,-12.640317211107075,-7.9507794112878525,-4.689537799819222,1.0742475892043357,1.0685185426982713,44.560952790449825
5,16/04/2021,415.8893759,416.5472273,414.3743435,415.899353,82037300,2188258301.1129518,1839406000,0.3026355592289445,110249707.91314086,86.86329417002892,5.002804235916367,5.877642582182564,921217.9115716598,2810.584981703464,403.8519525506031,3.6055755519911528,400.70805053,419.82571355936795,381.590387500632,9.541941073598013,0.8973106557706247,0.0,0.0,409.13049452666667,411.50771176666666,406.75327728666673,1.1620826468827394,1.923693712008715,1.0,0.0,382.6481248,416.5472273,399.59767605,8.45980070906063,0.9808881577322008,0.12601453806488488,6.982705613534563,5.789758398909681,1.1929472146248816,407.425402325,398.74537422692305,407.64378071999323,400.66107510645867,25.996268461766835,38.30964973864129,12.452569986783029,1.3982993042544378,0.45230877816051784,0.94599052609392,0.20980798888338056,21.669371847274643,116.13409272205642,-5.670452829999988,51.193648885262796,37.20312652431291,13.990522360949889,410.31262934999995,399.59767605,404.9551527,393.00225079999996,379.84166857499997,377.02264865,100.0,36.0,64.0,406.0633814036562,,0.0,0.0,99.95813578631342,75.48558761715705,1.0,0.9492532702398937,0.9492532702398936,38.98932768170046,74.57324218107495,97.4103811334319,95.97982027330546,-2.589618866568097,17.67274445588231,412.27452133405825,5.707693744218053,-10.444325670531942,-8.44948866313667,-1.9948370073952724,0.33423910475973706,0.3336817674115977,45.044132024888775
6,19/04/2021,414.9026123,415.3810276,412.4406656,413.8560181,78498500,2185330801.024697,1760907500,0.3035854454226654,71585646.11874165,78.6342727844745,-5.805692019396051,5.093109447355563,-111466.42851399304,2796.776433214256,405.70033506276644,3.590886736792041,401.99035339,421.0229884826469,382.9577182973531,9.469199910965008,0.8117189147020472,0.0,0.0,410.09600131999997,412.41241589000003,407.77958675,1.1296938095197355,1.3116027305077635,1.0,0.0,382.6481248,416.5472273,399.59767605,8.4328149205889,0.9206111961223751,0.18149088841540223,6.961031256521153,6.024012970431976,0.9370182860891774,408.993604025,399.6257511923077,408.5995095476866,401.6384782911654,27.03371659385936,35.893672462070256,15.193053893731188,1.286941646252917,0.46933003476973056,0.8176116114831865,0.2191428596669072,21.744747333120525,93.9314589654452,-2.6867339899999934,53.1992698643045,40.25314882282865,12.946121041475848,410.3375451,399.59767605,404.967610575,393.00225079999996,381.2648375,377.75782685,96.0,32.0,64.0,408.1601505829249,,0.0,0.0,99.97906789315671,70.7675551635915,0.7381112974849761,0.9127037658283256,0.9370701021027042,39.47246927201501,69.20475949741274,89.15221343043852,95.14719066497264,-10.84778656956148,17.607680611470585,412.51810870131794,4.7637036346831705,-8.990877733601256,-8.557766477229588,-0.43311125637166725,-0.4913051403568902,-0.49251601173851967,44.33152274846446
7,20/04/2021,412.5602745,413.7364193,409.2510935,410.8259583,81851800,2160957777.0978374,1679055700,0.2743942685828744,25928289.710687757,77.93564834753016,-13.245202958257465,4.270259020939128,-984947.6832001361,2796.776433214256,407.09052235281797,3.692290523112832,402.96616211,421.70732156817445,384.2250026518256,9.301604561555488,0.7096934345908826,0.0,0.0,410.73025889,413.3118064,408.14871138,1.257052507880305,0.518535279639306,0.0,0.0,382.6481248,416.5472273,399.59767605,8.41239431184456,0.831226534684806,0.36347130503107217,6.6230077590716405,6.143811928159908,0.4791958309117321,409.9537989333333,400.36933546153847,408.94204012496556,402.3190323658939,26.900911227952218,32.917190091906825,19.67691730739169,1.2037858103673147,0.5037850683033054,0.7000007420640093,0.22470356864131463,21.93180883439483,67.98251365192216,2.068719489999978,54.66910667916657,43.233366491735275,11.435740187431293,411.07512575,399.59767605,405.3364009,393.00225079999996,381.2648375,377.75782685,92.0,28.000000000000004,64.0,,416.5472273,0.0,1.0,99.60495993084564,64.34499763256258,0.31247924933464494,0.683530182273207,0.8484957394471421,37.998571790315594,61.743813577700344,74.60181707841282,87.05480388076109,-25.398182921587175,16.946031243235325,412.4074273603375,2.8856084293234487,-7.3897491963710245,-8.324163021057876,0.9344138246868514,-0.7321531323649322,-0.7348465279839012,43.27479498367155
8,21/04/2021,410.1680987,414.9325101,410.0185635,414.7132263,66793000,2221789530.85499,1745848700,0.3534644810135588,59316004.255446166,76.99467898818591,7.222937221754631,4.376406855721159,32720.178265461465,2823.2397549989246,408.883733515378,3.8144561308015463,404.29032898,422.4117124821264,386.16894547787365,8.964539690002246,0.7875855841464013,0.0,0.0,411.5515718633334,414.4740085033333,408.6291352233333,1.420204338799354,1.0409277986376892,1.0,0.0,382.6481248,416.5472273,399.59767605,8.384841305881679,0.945898243176202,0.37137735819701617,6.592794115667402,6.233608365661408,0.3591857500059943,410.7603276583334,401.1726344115384,409.8299149211247,403.2371208054573,27.00335505608208,32.17099230824271,17.964919201441422,1.176330210453122,0.5629281574720882,0.6134020529810337,0.22897550367146596,22.256357416687866,78.69469988244786,0.505355819999977,57.207782039416614,46.19198755010501,11.015794489311602,411.73797115,399.59767605,405.6678236,393.00225079999996,381.78145125000003,378.27444060000005,88.0,24.0,64.0,,416.401304624,0.0,0.0,99.61324227246268,68.31755735829339,0.3901609697866687,0.48025050553543003,0.6921614845456542,37.88581654019899,66.3680678114254,90.6741016511687,84.80937738667336,-9.325898348831297,16.31806117676473,412.6412580412812,2.3895089385308803,-7.660146545487165,-8.191359725943734,0.531213180456569,0.9462079796723311,0.9417594713797328,44.63047252666623
9,22/04/2021,414.5338499,415.4209319,409.7893619,410.9256287,97582800,2163584771.398227,1648265900,0.37695891429822126,-1958336.2212285623,66.92326780559405,0.7479887345485532,3.9388199529478447,-259228.12357691198,2823.2397549989246,410.26662131681127,3.9961675177213927,405.52379456,421.83511315354747,389.21247596645253,8.044567945141427,0.665585452488706,0.0,0.0,412.08815269666667,415.4092849966667,408.7670203966667,1.6118552684743954,0.3249807758837721,0.0,0.0,382.6481248,416.5472273,399.59767605,8.359337467923691,0.834166742320096,0.4899754777492707,6.1918463629641565,6.225255965121958,-0.03340960215780164,411.2711563166667,401.8493605346154,409.99848627172094,403.8066399087568,27.191835175560033,29.892409571316712,16.222880040797694,1.1453936887706457,0.6515551493658879,0.49383853940475786,0.22985612981392362,22.628309339675507,64.79890770732435,-0.25966496000000916,58.57188945165611,48.945957757194314,9.625931694461798,412.70480975,399.59767605,406.1512429,393.00225079999996,382.34774925,378.8407386,84.0,20.0,64.0,,416.25830040152,0.0,0.0,49.80662113623134,61.16653880835041,0.0,0.2342134063737714,0.46599803139413604,35.50344657620799,58.22169884330207,61.183798330476286,75.48657235335261,-38.816201669523714,15.032714531764668,412.5988343550517,1.5143303474266683,-4.524712112106112,-7.45803020317621,2.933318091070098,-0.9133052335447034,-0.9175014347502675,43.309554851779765
