,0
TSLA,88
F,49
NVDA,48
AAPL,26
AMD,23
VIAC,21
AMZN,8
BA,7
T,6
FB,4
DTE,4
C,3
DIS,3
MSFT,3
V,3
L,2
RL,2
MCD,2
K,2
WMT,2
TGT,2
NFLX,2
CVS,2
PENN,2
CERN,1
MU,1
ETSY,1
TWTR,1
LOW,1
HD,1
VFC,1
MSCI,1
GE,1
WELL,1
FAST,1
GOOG,1
DE,1
PSA,1
KHC,1
JPM,1
O,1
